date;day;average;median;deviation;soften;returns
20220620;1389;3.302933333;3.26;0.695861859;3.242709037;-0.032153638
20220621;1390;5.0125;4.645;2.441794081;3.746048946;0.155222039
20220622;1391;3.832307692;3.09;1.669706331;3.359585994;-0.103165484
20220623;1392;5.196666667;4.39;1.56461923;3.831878313;0.140580512
20220624;1393;3.78;3.99;0.603075451;3.727154769;-0.027329559
20220625;1394;3.34;3.1;0.501771861;3.553011028;-0.04672297
20220626;1395;4.09001225;3.9;1.458429528;3.726721932;0.048891181
20220627;1396;4.694545455;3.75;3.486093411;3.676577653;-0.013455331
20220628;1397;4.013;3.75;1.1879118;3.717766529;0.011203048
20220629;1398;3.626071429;3.695;0.551725191;3.696448061;-0.005734214
20220630;1399;3.231666667;3.195;0.570803527;3.536404863;-0.043296482
20220701;1400;3.545;3.475;0.484871117;3.569284308;0.009297421
20220702;1401;3.604271429;3.4999;0.83870856;3.53519639;-0.009550351
20220703;1402;4.277142857;4.15;1.188061647;3.751493566;0.061183921
20220704;1403;4.104285714;3.85;1.529693402;3.712229985;-0.01046612
20220705;1404;3.015;3.015;0.021213203;3.492907851;-0.059080966
20220706;1405;3.588571429;3.48;0.446856747;3.561712612;0.019698419
20220707;1406;3.7975;3.95;0.739917949;3.668206821;0.02989972
20220708;1407;5.125;4.3;2.753633963;3.843306478;0.047734401
20220709;1408;4.275;4.275;1.803122292;3.928837766;0.02225461
20220710;1409;3.912222222;4.04;1.07522995;3.937381415;0.002174599
20220711;1410;4.525;4.85;0.877353976;4.238739727;0.076537749
20220712;1411;4.496666667;3.5;2.091418976;3.89204038;-0.081793025
20220713;1412;2.83;2.83;0.169705627;3.653593369;-0.061265297
20220714;1413;3.450780093;3;0.861373737;3.51521125;-0.037875621
20220715;1414;4;4;0;3.722934873;0.059092785
20220717;1416;2.582333333;2.66;0.118105885;3.299382041;-0.113768531
20220718;1417;2.466802;2.574;0.221223905;3.198772305;-0.030493509
20220719;1418;3.63202;3.4;1.343249382;3.299384782;0.031453466
20220720;1419;3.6415;2.85;2.141189739;3.116052362;-0.055565638
20220721;1420;3.113783333;2.80635;0.870394256;3.073929048;-0.013518166
20220722;1421;2.7;2.7;0;2.963327137;-0.035980632
20220723;1422;2.96;2.96;0;2.999085395;0.012066929
20220724;1423;3.916666667;3.9;1.175088649;3.287470844;0.096157798
20220725;1424;3.91117;3.75;1.435511763;3.345518746;0.017657313
20220726;1425;2.9265;2.9265;0.103944697;3.18649653;-0.047532902
20220727;1426;3.726666667;4;0.940283645;3.510671759;0.10173406
20220728;1427;3.06;2.845;0.497393205;3.180722763;-0.093984576
20220729;1428;3.4861125;3.3694;1.057958448;3.353598174;0.054350984
20220730;1429;2.643333333;2.47;0.30892286;3.001440312;-0.105008962
20220731;1430;3.715;3.75;0.840684245;3.368346162;0.12224326
20220801;1431;3.14351;2.87;0.908664637;3.079928825;-0.085625801
20220802;1432;2.98194;2.875;0.54702175;3.107758329;0.009035762
20220803;1433;2.935;2.99;0.464076143;3.059229051;-0.015615525
20220804;1434;2.544333333;2.321;0.394644566;2.829329127;-0.075149628
20220805;1435;2.95242;2.492;0.92756519;2.793519393;-0.012656617
20220806;1436;2.675;2.675;0.106066017;2.765949506;-0.00986923
20220807;1437;2.97;3.29;0.797036177;2.949822966;0.066477519
20220808;1438;2.794271429;2.5;0.650512118;2.738590824;-0.071608413
20220809;1439;3.0333;2.85;0.599518334;2.84613793;0.039270966
20220810;1440;3.290156424;2.425;1.973906641;2.669909585;-0.061918414
20220811;1441;2.40025;2.25;0.468786065;2.588682505;-0.030423158
20220812;1442;2.196666667;2.2;0.905004604;2.486197363;-0.039589691
20220813;1443;1.716575;1.63315;0.191517421;2.236009956;-0.10063055
20220814;1444;1.874253;1.874253;0.305112333;2.198820106;-0.016632238
20220815;1445;3.478888889;2;2.373106848;2.144943354;-0.024502574
20220816;1446;1.948128571;1.784;0.702530964;2.04258782;-0.047719458
20220817;1447;1.601333333;1.55;0.130787359;1.912510391;-0.063682662
20220818;1448;1.7930375;1.6796;0.50863007;1.878232737;-0.017922859
20220819;1449;2.4089499;2.25;0.667753343;2.013581043;0.07206152
20220820;1450;2.71305;2.4;1.407436335;2.09727126;0.041562875
20220821;1451;1.89;1.89;0;2.000284101;-0.046244451
20220822;1452;2.6568;2.1;0.901055603;2.065851787;0.032779187
20220823;1453;2.852;2.66;0.719562367;2.242045296;0.085288553
20220824;1454;2.635;2.745;0.641521629;2.350965694;0.04858082
20220825;1455;2.13581;1.94445;0.5383673;2.179153663;-0.073081471
20220826;1456;2.437457143;2.6;0.490644402;2.376706453;0.090655741
20220827;1457;1.8664125;1.7501;0.314537322;2.101986705;-0.115588422
20220828;1458;2.202983333;2.159;0.434644362;2.212564386;0.05260627
20220829;1459;2.6;2.25;0.595818764;2.188183697;-0.0110192
20220830;1460;2.251858333;2.28;0.322468012;2.226916028;0.017700676
20220831;1461;2.495;2.3;0.688391126;2.238366575;0.005141886
20220901;1462;2.558571429;2.3;0.912787463;2.255094201;0.00747314
20220902;1463;2.061166667;1.85;0.420009722;2.114486925;-0.062350954
20220903;1464;1.94;1.94;0;2.103193709;-0.005340878
20220904;1465;2.402352941;2.28;0.389190336;2.165893545;0.029811727
20220905;1466;3.99;3.425;2.020989856;2.564695751;0.184128258
20220906;1467;2.245;2.245;0.784888527;2.325196432;-0.093383131
20220907;1468;2.60502;2.35;0.6558921;2.413297394;0.037889686
20220908;1469;2.920012475;2.875;0.749159787;2.537831275;0.051603205
20220909;1470;2.417546825;2.12055;0.543057035;2.357226223;-0.071165114
20220910;1471;2.41714;2.33;0.510106261;2.4083525;0.021689168
20220911;1472;3.0212;3.0212;0;2.595592908;0.077746264
